Regulator	Target	MI
hsa-let-7a-3p	UNC119B	0.074963376
hsa-let-7a-3p	HTATSF1	0.069338147
hsa-let-7a-3p	COL15A1	0.055096079
hsa-let-7a-3p	COL13A1	0.076334809
hsa-let-7a-3p	PHYHIPL	0.092437612
hsa-let-7a-3p	LAMP3	0.066559242
hsa-let-7a-3p	LCORL	0.066982288
hsa-let-7a-3p	RAB33A	0.068250906
hsa-let-7a-3p	CCNA1	0.065153883
hsa-let-7a-3p	CELF2	0.080257322
hsa-let-7a-3p	LIX1L	0.067481804
hsa-let-7a-3p	TCTEX1D1	0.061874102
hsa-let-7a-3p	CCDC50	0.063509092
hsa-let-7a-3p	LRRC2	0.07938406
hsa-let-7a-3p	LRRK2	0.061082396
hsa-let-7a-3p	CPNE8	0.066782983
hsa-let-7a-3p	CTLA4	0.08637031
hsa-let-7a-3p	ZFP36L1	0.06966207
hsa-let-7a-3p	CYTH1	0.062971485
hsa-let-7a-3p	FAM43A	0.067903504
hsa-let-7a-3p	MBLAC2	0.065160933
hsa-let-7a-3p	MARK1	0.060688375
hsa-let-7a-3p	MBNL1	0.070798998
hsa-let-7a-3p	MDFIC	0.061874738
hsa-let-7a-3p	MEAF6	0.064311882
hsa-let-7a-3p	MEF2C	0.061291706
hsa-let-7a-3p	ABI3BP	0.076638956
hsa-let-7a-3p	MGAT2	0.078522325
hsa-let-7a-3p	ENTHD1	0.071035769
hsa-let-7a-3p	CDC14B	0.076511214
hsa-let-7a-3p	MSMO1	0.069860442
hsa-let-7a-3p	TMEM68	0.073587616
hsa-let-7a-3p	CDKN1B	0.059526657
hsa-let-7a-3p	DUSP7	0.074449924
hsa-let-7a-3p	MYOZ2	0.066432556
hsa-let-7a-3p	TBC1D2B	0.082967324
hsa-let-7a-3p	NCOA7	0.061271359
hsa-let-7a-3p	HMGXB4	0.073893142
hsa-let-7a-3p	NEDD9	0.070523675
hsa-let-7a-3p	NFIL3	0.083172714
hsa-let-7a-3p	DNAJC5B	0.076255954
hsa-let-7a-3p	DNAJC12	0.060766356
hsa-let-7a-3p	ENPP2	0.069772413
hsa-let-7a-3p	NR4A3	0.082428492
hsa-let-7a-3p	EPHA4	0.069835617
hsa-let-7a-3p	NT5C2	0.071850903
hsa-let-7a-3p	EVI2A	0.076617833
hsa-let-7a-3p	CEP85L	0.074091523
hsa-let-7a-3p	BRI3BP	0.083779021
hsa-let-7a-3p	CD48	0.082052684
hsa-let-7a-3p	CLNK	0.090227356
hsa-let-7a-3p	PTPN22	0.080044146
hsa-let-7a-3p	APLF	0.070071577
hsa-let-7a-3p	ANK1	0.096661494
hsa-let-7a-3p	ART3	0.071827716
hsa-let-7a-3p	ARF3	0.065709707
hsa-let-7a-3p	EBF3	0.070108018
hsa-let-7a-3p	EBF1	0.063810436
hsa-let-7a-3p	ELK3	0.056382732
hsa-let-7a-3p	EGR3	0.085159233
hsa-let-7a-3p	ETS2	0.061258907
hsa-let-7a-3p	CUBN	0.055707996
hsa-let-7a-3p	FBLN5	0.067178268
hsa-let-7a-3p	GAS1	0.061320495
