,Target,MIRNA,MI,log2FoldChange
1,A2ML1,hsa-miR-106b-5p,0.076481364,3.2016241080377
2,A2ML1,hsa-miR-106a-5p,0.07177102,3.2016241080377
3,A2ML1,hsa-miR-93-5p,0.075341162,3.2016241080377
4,AAGAB,hsa-miR-939-5p,0.072128036,0.810826081237919
5,AAGAB,hsa-miR-760,0.076775817,0.810826081237919
6,AAGAB,hsa-miR-93-3p,0.092516496,0.810826081237919
7,AAK1,hsa-miR-93-5p,0.076681894,-0.188835481401659
8,AAK1,hsa-miR-106b-5p,0.11724208,-0.188835481401659
9,AANAT,hsa-miR-183-5p,0.059544439,0.887618371907445
10,AARD,hsa-miR-33a-5p,0.071598463,2.16178216262869
11,AARS,hsa-miR-939-5p,0.068315986,0.365686691275356
12,AARS2,hsa-miR-106a-5p,0.072190669,0.334571187405358
13,AATK,hsa-miR-1224-5p,0.066508395,0.778432096815696
14,ABAT,hsa-miR-1254,0.071588221,1.27384936174857
15,ABAT,hsa-miR-106a-5p,0.088113049,1.27384936174857
16,ABAT,hsa-miR-939-5p,0.074902554,1.27384936174857
17,ABAT,hsa-miR-429,0.06433695,1.27384936174857
18,ABAT,hsa-miR-590-3p,0.128149976,1.27384936174857
19,ABCA1,hsa-miR-106a-5p,0.069253459,-1.30744044385889
20,ABCA1,hsa-miR-20b-5p,0.066225945,-1.30744044385889
21,ABCA1,hsa-miR-93-5p,0.088598279,-1.30744044385889
22,ABCA1,hsa-miR-96-5p,0.060772547,-1.30744044385889
23,ABCA1,hsa-miR-106b-5p,0.089843023,-1.30744044385889
24,ABCA10,hsa-miR-185-3p,0.066372483,-3.33328669469347
25,ABCA10,hsa-miR-16-2-3p,0.110862131,-3.33328669469347
26,ABCA10,hsa-miR-590-3p,0.085163472,-3.33328669469347
27,ABCA3,hsa-miR-1254,0.065271985,1.0038936536545
28,ABCA6,hsa-miR-96-5p,0.088031322,-2.66221759405506
29,ABCA6,hsa-miR-16-2-3p,0.124059428,-2.66221759405506
30,ABCA6,hsa-miR-3065-5p,0.100259376,-2.66221759405506
31,ABCA6,hsa-miR-590-3p,0.082375994,-2.66221759405506
32,ABCA8,hsa-miR-192-5p,0.06346873,-3.87978895651727
33,ABCA8,hsa-miR-454-3p,0.112436287,-3.87978895651727
34,ABCA9,hsa-miR-7-5p,0.092380053,-3.59851236459945
35,ABCB4,hsa-miR-590-3p,0.071164971,0.259745134633095
36,ABCB5,hsa-miR-15b-5p,0.066363634,-3.52675612304267
37,ABCB5,hsa-miR-16-5p,0.073097582,-3.52675612304267
38,ABCB7,hsa-miR-148b-3p,0.065810465,-0.249687171022951
39,ABCB8,hsa-miR-671-5p,0.078270589,0.968734626065794
40,ABCB9,hsa-miR-93-5p,0.080587374,0.984375638229654
41,ABCC1,hsa-miR-940,0.062973914,0.358529375244766
42,ABCC1,hsa-miR-615-3p,0.064747236,0.358529375244766
43,ABCC10,hsa-miR-98-5p,0.064885829,0.361954234596078
44,ABCC10,hsa-miR-93-3p,0.071289639,0.361954234596078
45,ABCC10,hsa-miR-106b-5p,0.115898695,0.361954234596078
46,ABCC10,hsa-miR-877-5p,0.123204458,0.361954234596078
47,ABCC10,hsa-miR-93-5p,0.096920005,0.361954234596078
48,ABCC10,hsa-miR-590-3p,0.079813858,0.361954234596078
49,ABCC12,hsa-miR-15b-3p,0.064389209,1.88500782405159
50,ABCC4,hsa-miR-671-5p,0.07403167,0.503645152762318
51,ABCC4,hsa-miR-183-5p,0.079588809,0.503645152762318
52,ABCC5,hsa-miR-590-3p,0.065672659,1.14076851138475
53,ABCC5,hsa-miR-940,0.066535174,1.14076851138475
54,ABCC8,hsa-miR-671-5p,0.061281044,0.835431150875761
55,ABCD1,hsa-miR-1224-5p,0.070824036,0.540656153924688
56,ABCD2,hsa-miR-96-5p,0.074108789,-4.08926888927141
